Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,coordinates,original_latitude,original_longitude,new_latitude,new_longitude
MN - Delicioso,78653.0,2022-12-21,88,"10900 E US 290 HWY MANOR, TX 78653 ",12394049,Routine Inspection,"['30.34856', ' -97.56049']",30.34856, -97.56049,30.3487205,-97.5606231
Jersey Mikes Subs,78748.0,2022-12-21,93,"9500 S IH AUSTIN, TX 78748",10128381,Routine Inspection,,,,30.1659037,-97.7928478
"Continental Retirement Community, The",78735.0,2022-12-21,94,"4604 S LAMAR BLVD AUSTIN, TX 78735 ",12115672,Routine Inspection,"['30.23254', ' -97.80416']",30.23254, -97.80416,30.2340778,-97.8032676
MN - Taqueria La Parrillita,78653.0,2022-12-21,88,"10400 E US 290 HWY MANOR, TX 78653 ",12089949,Routine Inspection,"['30.34718', ' -97.56738']",30.34718, -97.56738,30.3486698,-97.5607221
Papa John's Pizza  ,78756.0,2022-12-21,93,"5343 BURNET RD AUSTIN, TX 78756 ",2801186,Routine Inspection,"['30.32741', ' -97.73944']",30.32741, -97.73944,30.327435,-97.7394342
Thom's Market,78704.0,2022-12-20,98,"1418 BARTON SPRINGS RD AUSTIN, TX 78704 ",10037850,Routine Inspection,"['30.26145', ' -97.75975']",30.26145, -97.75975,30.2616232,-97.7596344
Galaxy Cafe,78748.0,2022-12-20,84,"9911 BRODIE LN AUSTIN, TX 78748 ",2802121,Routine Inspection,"['30.18479', ' -97.84901']",30.18479, -97.84901,30.1833853,-97.8480232
"Water Tank Bar & Grill, The",78727.0,2022-12-20,88,"7309 MC NEIL DR AUSTIN, TX 78727 ",10879370,Routine Inspection,"['30.43535', ' -97.76656']",30.43535, -97.76656,30.435,-97.7669444
Sam's Club / Snack Bar ,78735.0,2022-12-20,94,"4970 W US 290 HWY AUSTIN, TX 78735 ",2803159,Routine Inspection,"['30.23367', ' -97.81904']",30.23367, -97.81904,30.23566,-97.8196294
Voodoo Doughnut,78701.0,2022-12-20,81,"212 E 6TH ST AUSTIN, TX 78701 ",11404240,Routine Inspection,"['30.26749', ' -97.74076']",30.26749, -97.74076,30.2677836,-97.7408519
China Steakhouse,78738.0,2022-12-20,92,"15511 W SH BEE CAVE, TX 78738",12392920,Routine Inspection,,,,30.3167031,-97.985725
WL - Jersey Mikes Subs,78746.0,2022-12-20,94,"3300 BEE CAVES RD WEST LAKE HILLS, TX 78746 ",12186412,Routine Inspection,"['30.27459', ' -97.80072']",30.27459, -97.80072,30.2743923,-97.799316
De Nada Cantina,78702.0,2022-12-20,90,"4715 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",12394581,Routine Inspection,"['30.25173', ' -97.70213']",30.25173, -97.70213,30.2514145,-97.7022034
Riverside Grocery,78741.0,2022-12-20,94,"1727 E RIVERSIDE DR AUSTIN, TX 78741 ",10007389,Routine Inspection,"['30.24365', ' -97.72971']",30.24365, -97.72971,30.2433298,-97.7301069
Tinnin Food Mart,78741.0,2022-12-20,91,"1516 TINNIN FORD RD AUSTIN, TX 78741 ",10051034,Routine Inspection,"['30.24103', ' -97.72661']",30.24103, -97.72661,30.24137,-97.7268822
Wingstop # 1219,78723.0,2022-12-20,99,"5455 N IH AUSTIN, TX 78723",11648746,Routine Inspection,,,,30.3134328,-97.7084418
Onion Creek Country Club,78747.0,2022-12-20,100,"2510 ONION CREEK PKWY AUSTIN, TX 78747 ",12185622,Routine Inspection,"['30.13647', ' -97.78919']",30.13647, -97.78919,30.1363753,-97.787773
Bawarchi Biryani's,78729.0,2022-12-20,72,"7318 MC NEIL DR AUSTIN, TX 78729 ",12186200,Routine Inspection,"['30.43537', ' -97.76748']",30.43537, -97.76748,30.4353907,-97.7678694
MT Supermarket - Meat/Seafood,78753.0,2022-12-20,89,"10901 N LAMAR BLVD AUSTIN, TX 78753 ",12393921,Routine Inspection,"['30.37841', ' -97.6879']",30.37841, -97.6879,30.3780174,-97.6859436
Sonic Drive - In ,78729.0,2022-12-20,86,"6816 MC NEIL DR AUSTIN, TX 78729 ",12393742,Routine Inspection,"['30.43794', ' -97.7587']",30.43794, -97.7587,30.4382457,-97.7588099
BC - Domino's,78738.0,2022-12-20,95,"15500 W SH BEE CAVE, TX 78738",11938950,Routine Inspection,,,,30.3180764,-97.9857234
Moviehouse & Eatery,78726.0,2022-12-20,90,"8300 N FM 620 RD AUSTIN, TX 78726 ",12393083,Routine Inspection,"['30.42117', ' -97.84529']",30.42117, -97.84529,30.4236909,-97.8467778
Munkebo Farms,78727.0,2022-12-20,99,"12117 PECAN ST AUSTIN, TX 78727 ",12185684,Routine Inspection,"['30.43352', ' -97.76346']",30.43352, -97.76346,30.433644,-97.7630312
Accent Food Services - Rutherford Bldg 4,78754.0,2022-12-20,100,"1520 RUTHERFORD LN AUSTIN, TX 78754 ",12394531,Routine Inspection,"['30.33759', ' -97.68113']",30.33759, -97.68113,30.3377507,-97.6807557
Express - O,78702.0,2022-12-20,90,"2228 E CESAR CHAVEZ ST AUSTIN, TX 78702 ",11650787,Routine Inspection,"['30.25532', ' -97.71948']",30.25532, -97.71948,30.2555895,-97.7194338
Phonatic,78757.0,2022-12-20,74,"2525 W ANDERSON LN AUSTIN, TX 78757 ",12393268,Routine Inspection,"['30.35693', ' -97.73259']",30.35693, -97.73259,30.3556116,-97.7336312
WL - Tokyo Gardens Sushi Bar,78746.0,2022-12-20,99,701 S CAPITAL OF TEXAS HWY NB UNIT C-300 WEST LAKE HILLS TX 78746 ,10135293,Routine Inspection,"['30.29214', ' -97.82818']",30.29214, -97.82818,30.2915379,-97.8249505
Sunrise Market,78723.0,2022-12-20,80,"6303 CAMERON RD AUSTIN, TX 78723 ",11987780,Routine Inspection,"['30.32042', ' -97.69616']",30.32042, -97.69616,30.3201344,-97.6959582
Sam's Club  (Deli & Bakery),78735.0,2022-12-20,97,"4970 W US 290 HWY AUSTIN, TX 78735 ",2801700,Routine Inspection,"['30.23367', ' -97.81904']",30.23367, -97.81904,30.2358081,-97.8201523
Sam's Club/Meat & Produce ,78735.0,2022-12-20,98,"4970 W US 290 HWY AUSTIN, TX 78735 ",2801992,Routine Inspection,"['30.23367', ' -97.81904']",30.23367, -97.81904,30.23566,-97.8196294
WL - HEB ,78746.0,2022-12-20,98,701 S CAPITAL OF TEXAS HWY NB WEST LAKE HILLS TX 78746 ,10111225,Routine Inspection,"['30.29214', ' -97.82818']",30.29214, -97.82818,30.2915379,-97.8249505
El Michoacano Mexican Rest.,78617.0,2022-12-20,72,"2701 E SH AUSTIN, TX 78617",2800796,Routine Inspection,,,,30.2114999,-97.6549327
Whataburger  D-3800,78723.0,2022-12-20,95,"6106 CAMERON RD AUSTIN, TX 78723 ",2800056,Routine Inspection,"['30.31931', ' -97.69844']",30.31931, -97.69844,30.3192349,-97.6981971
BC - Longleaf Bee Cave,78738.0,2022-12-20,97,"3936 S FM 620 RD BEE CAVE, TX 78738",12395996,Routine Inspection,,,,30.3121746,-97.9473928
ZZa Pizza + Salad,78738.0,2022-12-20,98,"15511 W SH BEE CAVE, TX 78738",12186387,Routine Inspection,,,,30.3167031,-97.985725
Restaurante Jasmines,78617.0,2022-12-20,80,"2463 E SH AUSTIN, TX 78617",10488639,Routine Inspection,,,,30.2137688,-97.6594596
BC - Madam Mam's Thai Cuisine,78738.0,2022-12-20,74,"3929 MARKET ST BEE CAVE, TX 78738 ",10794093,Routine Inspection,"['30.30778', ' -97.93707']",30.30778, -97.93707,30.3071476,-97.9359203
Courtesy Shell #4,78741.0,2022-12-20,87,"2241 S IH SVRD NB AUSTIN, TX 78741",11130514,Routine Inspection,,,,30.2337718,-97.7396651
Brodie Ranch Nursing and Rehabilitation Center,78748.0,2022-12-20,91,"2101 FRATE BARKER RD AUSTIN, TX 78748 ",12178229,Routine Inspection,"['30.14908', ' -97.84076']",30.14908, -97.84076,30.1486888,-97.8407444
MT Supermarket,78753.0,2022-12-20,88,"10901 N LAMAR BLVD AUSTIN, TX 78753 ",12393920,Routine Inspection,"['30.37841', ' -97.6879']",30.37841, -97.6879,30.3780174,-97.6859436
WL- Kerbey Lane Cafe -Westlake,78746.0,2022-12-20,72,701 S CAPITAL OF TEXAS HWY NB UNIT M WEST LAKE HILLS TX 78746 ,11197918,Routine Inspection,"['30.29214', ' -97.82818']",30.29214, -97.82818,30.29214, -97.82818
Tapioca House,78705.0,2022-12-20,91,"1906 GUADALUPE ST AUSTIN, TX 78705 ",12395906,Routine Inspection,"['30.2825', ' -97.74205']",30.2825, -97.74205,30.282417,-97.742254
Taco Shack,78756.0,2022-12-20,95,"4002 N LAMAR BLVD AUSTIN, TX 78756 ",2802345,Routine Inspection,"['30.30834', ' -97.74151']",30.30834, -97.74151,30.3082222,-97.7415773
LT Country Market,78738.0,2022-12-20,85,"3325 S FM 620 RD BEE CAVE, TX 78738",10675703,Routine Inspection,,,,30.3277811,-97.9633843
Beijing Wok,78745.0,2022-12-20,77,"8106 BRODIE LN AUSTIN, TX 78745 ",10356174,Routine Inspection,"['30.20186', ' -97.83811']",30.20186, -97.83811,30.20222,-97.8387077
WL - Starbucks Coffee ,78746.0,2022-12-20,97,701 S CAPITAL OF TEXAS HWY NB UNIT B-200 WEST LAKE HILLS TX 78746 ,10942718,Routine Inspection,"['30.29214', ' -97.82818']",30.29214, -97.82818,30.2925909,-97.8252773
Texican Cafe,78613.0,2022-12-20,83,"11066 PECAN PARK BLVD AUSTIN, TX 78613 ",2802131,Routine Inspection,"['30.47041', ' -97.80207']",30.47041, -97.80207,30.4710552,-97.8012579
WL - Starbucks Coffee ,78746.0,2022-12-20,98,"3300 BEE CAVES RD WEST LAKE HILLS, TX 78746 ",10002742,Routine Inspection,"['30.27459', ' -97.80072']",30.27459, -97.80072,30.2737748,-97.7986026
Mariscos Los Jarochos,78753.0,2022-12-20,87,"9200 N LAMAR BLVD AUSTIN, TX 78753 ",11064474,Routine Inspection,"['30.36138', ' -97.698']",30.36138, -97.698,30.360979,-97.6988223
Accent Food Services - Rutherford Campus,78754.0,2022-12-20,100,"1520 RUTHERFORD LN AUSTIN, TX 78754 ",12394529,Routine Inspection,"['30.33759', ' -97.68113']",30.33759, -97.68113,30.3377507,-97.6807557
WL - Chick-Fil-A,78746.0,2022-12-20,98,701 S CAPITAL OF TEXAS HWY NB UNIT L WEST LAKE HILLS TX 78746 ,11690733,Routine Inspection,"['30.29214', ' -97.82818']",30.29214, -97.82818,30.29214, -97.82818
Phil's Ice House,78756.0,2022-12-20,81,"5620 BURNET RD AUSTIN, TX 78756 ",2802967,Routine Inspection,"['30.3321', ' -97.74034']",30.3321, -97.74034,30.3321278,-97.7403176
"Bread Basket, The",78702.0,2022-12-20,87,"1514 HOLLY ST AUSTIN, TX 78702 ",2803741,Routine Inspection,"['30.25498', ' -97.73048']",30.25498, -97.73048,30.2552488,-97.7304251
Ryan Sanders Sports Services,78744.0,2022-12-20,94,"5400 JIMMY CLAY DR AUSTIN, TX 78744 ",11612024,Routine Inspection,"['30.18832', ' -97.73244']",30.18832, -97.73244,30.1789763,-97.7354638
"Park on South Lamar, The",78704.0,2022-12-19,84,"4024 S LAMAR BLVD AUSTIN, TX 78704 ",11088477,Routine Inspection,"['30.23607', ' -97.7932']",30.23607, -97.7932,30.2362876,-97.7933362
La Buena Supermercado (Kitchen),78745.0,2022-12-19,81,"512 W STASSNEY LN AUSTIN, TX 78745 ",12394423,Routine Inspection,"['30.20794', ' -97.78032']",30.20794, -97.78032,30.2087251,-97.7799597
Wendy's W118,78751.0,2022-12-19,92,"1000 E 41ST ST AUSTIN, TX 78751 ",11119191,Routine Inspection,"['30.29805', ' -97.71896']",30.29805, -97.71896,30.2985375,-97.7181315
BJ's Restaurant & Brewhouse,78759.0,2022-12-19,83,"10515 N MOPAC EXPY AUSTIN, TX 78759 ",10575343,Routine Inspection,"['30.39198', ' -97.73307']",30.39198, -97.73307,30.3921902,-97.7324086
Sonic Drive - In ,78748.0,2022-12-19,96,"155 W SLAUGHTER LN AUSTIN, TX 78748 ",12393745,Routine Inspection,"['30.16716', ' -97.79149']",30.16716, -97.79149,30.1668597,-97.7914676
PF - Hilton Home2/Tru Pflugerville,78660.0,2022-12-19,99,"18700 HILLTOP COMMERCIAL DR PFLUGERVILLE, TX 78660 ",12394325,Routine Inspection,"['30.46814', ' -97.59922']",30.46814, -97.59922,30.4675538,-97.5993834
Selam International Mart & Cafe,78753.0,2022-12-19,94,"10009 N LAMAR BLVD AUSTIN, TX 78753 ",11785453,Routine Inspection,"['30.36982', ' -97.69231']",30.36982, -97.69231,30.3697696,-97.6927271
Lupe Tortilla Mexican Restaurant,78759.0,2022-12-19,90,"10515 N MOPAC EXPY AUSTIN, TX 78759 ",10730943,Routine Inspection,"['30.39198', ' -97.73307']",30.39198, -97.73307,30.3869303,-97.7339894
Wendy's Old Fashioned Hamburgers ,78741.0,2022-12-19,96,"6210 E BEN WHITE BLVD AUSTIN, TX 78741 ",11081676,Routine Inspection,"['30.21277', ' -97.71266']",30.21277, -97.71266,30.2131218,-97.7124719
Chipotle Mexican Grill ,78745.0,2022-12-19,95,"610 E STASSNEY LN AUSTIN, TX 78745 ",10179276,Routine Inspection,"['30.20134', ' -97.76959']",30.20134, -97.76959,30.2012923,-97.7684869
PF - Cinemark Stonehill ,78660.0,2022-12-19,99,"18820 HILLTOP COMMERCIAL DR PFLUGERVILLE, TX 78660 ",12392680,Routine Inspection,"['30.47014', ' -97.59879']",30.47014, -97.59879,30.4703372,-97.5984446
Asian American Resource Center (AARC),78754.0,2022-12-19,100,"8401 CAMERON RD AUSTIN, TX 78754 ",11005845,Routine Inspection,"['30.3402058686', ' -97.6809317248']",30.3402058686, -97.6809317248,30.3400768,-97.6810554
