Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Sam's Club  (Deli & Bakery),78735.0,2022-12-20,97,"4970 W US 290 HWY AUSTIN, TX 78735 ",2801700,Routine Inspection
Sam's Club/Meat & Produce ,78735.0,2022-12-20,98,"4970 W US 290 HWY AUSTIN, TX 78735 ",2801992,Routine Inspection
WL - HEB ,78746.0,2022-12-20,98,701 S CAPITAL OF TEXAS HWY NB WEST LAKE HILLS TX 78746 ,10111225,Routine Inspection
El Michoacano Mexican Rest.,78617.0,2022-12-20,72,"2701 E SH AUSTIN, TX 78617",2800796,Routine Inspection
Whataburger  D-3800,78723.0,2022-12-20,95,"6106 CAMERON RD AUSTIN, TX 78723 ",2800056,Routine Inspection
BC - Longleaf Bee Cave,78738.0,2022-12-20,97,"3936 S FM 620 RD BEE CAVE, TX 78738",12395996,Routine Inspection
ZZa Pizza + Salad,78738.0,2022-12-20,98,"15511 W SH BEE CAVE, TX 78738",12186387,Routine Inspection
Restaurante Jasmines,78617.0,2022-12-20,80,"2463 E SH AUSTIN, TX 78617",10488639,Routine Inspection
BC - Madam Mam's Thai Cuisine,78738.0,2022-12-20,74,"3929 MARKET ST BEE CAVE, TX 78738 ",10794093,Routine Inspection
Courtesy Shell #4,78741.0,2022-12-20,87,"2241 S IH SVRD NB AUSTIN, TX 78741",11130514,Routine Inspection
Brodie Ranch Nursing and Rehabilitation Center,78748.0,2022-12-20,91,"2101 FRATE BARKER RD AUSTIN, TX 78748 ",12178229,Routine Inspection
MT Supermarket,78753.0,2022-12-20,88,"10901 N LAMAR BLVD AUSTIN, TX 78753 ",12393920,Routine Inspection
WL- Kerbey Lane Cafe -Westlake,78746.0,2022-12-20,72,701 S CAPITAL OF TEXAS HWY NB UNIT M WEST LAKE HILLS TX 78746 ,11197918,Routine Inspection
Tapioca House,78705.0,2022-12-20,91,"1906 GUADALUPE ST AUSTIN, TX 78705 ",12395906,Routine Inspection
Taco Shack,78756.0,2022-12-20,95,"4002 N LAMAR BLVD AUSTIN, TX 78756 ",2802345,Routine Inspection
LT Country Market,78738.0,2022-12-20,85,"3325 S FM 620 RD BEE CAVE, TX 78738",10675703,Routine Inspection
Beijing Wok,78745.0,2022-12-20,77,"8106 BRODIE LN AUSTIN, TX 78745 ",10356174,Routine Inspection
